11001,1043715.186,202521.1563,1241
11004,1057028.559,208731.2734,2502
11005,1063425,215121,1
11040,1057126.317,210762.5178,589
11101,968048.9149,204920.8812,3231
11102,980352.8162,214794.9719,2992
11103,996625.0829,214598.8855,4524
11104,997289.6198,208502.7121,1820
11105,996695.7484,219029.7371,5541
11106,991185.0315,213939.6052,3171
11354,1017287.9,216032.9825,5189
11355,1027126.365,211254.2406,6833
11356,1000389.864,219676.3713,4738
11357,1024666.643,222817.8083,9772
11358,1034903.072,215262.4732,8614
11359,1045399,228443,1
11360,1031005.742,219996.2437,2511
11361,1034834.534,215056.4182,6402
11362,1026359.426,210186.5037,3405
11363,1001742.35,209770.204,2181
11364,1041270.033,210090.1136,6020
11365,1032997.556,206948.9303,6384
11366,1040391.691,204351.1928,3657
11367,1027833.923,203744.9662,4792
11368,1010129.572,209304.1979,7942
11369,1006256.514,214296.5179,5320
11370,1006880.64,215129.3088,4103
11372,1013227.427,212395.0605,2743
11373,999543.7173,204908.1472,7192
11374,1013183.103,201504.3756,3296
11375,1002964.789,196715.7381,6865
11377,989732.7518,206103.3805,8178
11378,975207.7234,195764.1846,8157
11379,1006800.428,199091.456,8698
11385,1001355.347,193305.5998,14651
11411,1052338.699,191569.9786,5364
11412,1037676.867,191185.7204,8728
11413,1023603.468,179247.2947,9841
11415,1006171.121,191861.844,1295
11416,1009291.333,185585.4078,3816
11417,983773.2824,178042.5278,5925
11418,1009992.757,189726.8747,5250
11419,1023665.461,188320.1717,7577
11420,1013177.415,181406.0108,9356
11421,1014683.568,189362.8064,6261
11422,1025498.993,175289.2132,6830
11423,1034324.058,197101.8434,5229
11426,1050126.117,204112.7349,4482
11427,1042835.498,202528.3967,4275
11428,1047000.562,200443.5296,4341
11429,1034325.184,193533.7629,5794
11432,1030533.006,197687.8727,6664
11433,1000122.675,185320.1517,6413
11434,1006743.175,179332.6898,10849
11435,1014272.066,189507.7186,6197
11436,1015115.13,181277.8833,4463
